ticker,stage,reason
CRCL,filters,rvol 0.58 < 1.3
CRCT,filters,avg_vol_20d 553313 < 1000000
CRDF,filters,avg_vol_20d 28406 < 1000000
CRDO,filters,avg_vol_20d 15574 < 1000000
CRGY,filters,price 2.93 < 8.0
CRI,filters,rvol 0.67 < 1.3
CRK,filters,avg_vol_20d 308760 < 1000000
CRMD,filters,avg_vol_20d 67553 < 1000000
CRMT,filters,avg_vol_20d 169369 < 1000000
CRNC,filters,avg_vol_20d 308760 < 1000000
CRNX,filters,price 3.89 < 8.0
CRSP,filters,avg_vol_20d 226487 < 1000000
CRSR,filters,rvol 0.58 < 1.3
CRVL,filters,price 2.60 < 8.0
CRVS,filters,avg_vol_20d 64062 < 1000000
CSGS,filters,price 6.90 < 8.0
CSPI,filters,price 6.15 < 8.0
CSR,filters,rvol 0.60 < 1.3
CSTL,filters,price 6.46 < 8.0
CSTM,filters,avg_vol_20d 41078 < 1000000
CSV,filters,rvol 0.67 < 1.3
CSW,filters,rvol 0.95 < 1.3
CTBI,filters,rvol 0.95 < 1.3
CTEV,filters,avg_vol_20d 3954 < 1000000
CTGO,filters,rvol 0.81 < 1.3
CTKB,filters,rvol 0.55 < 1.3
CTLP,filters,avg_vol_20d 980964 < 1000000
CTO,filters,avg_vol_20d 349664 < 1000000
CTOS,filters,atr_pct 1.97 < 2.5
CTRE,filters,rvol 0.53 < 1.3
CTRI,filters,price 1.80 < 8.0
CTRN,filters,avg_vol_20d 972247 < 1000000
CTS,filters,avg_vol_20d 909123 < 1000000
CUBI,filters,rvol 0.64 < 1.3
CURB,filters,rvol 1.25 < 1.3
CURI,filters,price 5.72 < 8.0
CURV,filters,rvol 0.77 < 1.3
CV,filters,rvol 0.82 < 1.3
CVBF,filters,avg_vol_20d 138119 < 1000000
CVCO,filters,rvol 0.66 < 1.3
CVGW,filters,adv20 26175821 < 30000000
CVI,filters,avg_vol_20d 797755 < 1000000
CVLG,filters,price 6.01 < 8.0
CVLT,filters,rvol 0.50 < 1.3
CVRX,filters,rvol 0.68 < 1.3
CWAN,filters,avg_vol_20d 493527 < 1000000
CWBC,filters,rvol 1.18 < 1.3
CWH,filters,price 2.77 < 8.0
CWK,filters,avg_vol_20d 607647 < 1000000
CWST,filters,avg_vol_20d 62147 < 1000000
CWT,filters,price 4.33 < 8.0
CXDO,filters,atr_pct 1.77 < 2.5
CXM,filters,rvol 1.18 < 1.3
CXW,filters,price 1.56 < 8.0
CYH,filters,avg_vol_20d 970301 < 1000000
CYRX,filters,avg_vol_20d 554572 < 1000000
CYTK,filters,avg_vol_20d 324815 < 1000000
CZFS,setup,did_not_meet_breakout_or_reversal
CZNC,filters,avg_vol_20d 73083 < 1000000
CZWI,filters,rvol 0.68 < 1.3
DAKT,filters,avg_vol_20d 5460 < 1000000
DAN,filters,avg_vol_20d 991497 < 1000000
DAVE,filters,rvol 0.64 < 1.3
DAWN,filters,avg_vol_20d 255380 < 1000000
DBD,filters,rvol 0.71 < 1.3
DBI,filters,rvol 0.52 < 1.3
DBRG,filters,rvol 0.42 < 1.3
DC,filters,price 2.32 < 8.0
DCGO,filters,avg_vol_20d 336110 < 1000000
DCO,filters,rvol 0.70 < 1.3
DCOM,filters,avg_vol_20d 329576 < 1000000
DCTH,filters,avg_vol_20d 229161 < 1000000
DDD,filters,rvol 0.39 < 1.3
DEA,filters,avg_vol_20d 594555 < 1000000
DEI,filters,avg_vol_20d 48147 < 1000000
DENN,filters,rvol 0.61 < 1.3
DFH,filters,rvol 1.15 < 1.3
DFIN,filters,avg_vol_20d 320306 < 1000000
DGICA,filters,avg_vol_20d 62446 < 1000000
DGII,filters,rvol 0.90 < 1.3
DH,filters,avg_vol_20d 416441 < 1000000
DHC,filters,rvol 0.99 < 1.3
DHIL,filters,avg_vol_20d 159438 < 1000000
DHT,filters,rvol 0.76 < 1.3
DIN,filters,rvol 0.74 < 1.3
DIOD,filters,avg_vol_20d 148285 < 1000000
DJCO,filters,avg_vol_20d 976932 < 1000000
DK,filters,avg_vol_20d 61858 < 1000000
DLX,filters,avg_vol_20d 159438 < 1000000
DMAC,filters,avg_vol_20d 976932 < 1000000
DMRC,filters,price 1.56 < 8.0
DNA,filters,avg_vol_20d 644946 < 1000000
DNLI,filters,rvol 0.91 < 1.3
DNOW,filters,price 1.08 < 8.0
