ticker,name,exchange,sector,technical_score,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
SBUX,Starbucks Corporation,NASDAQ,Consumer Cyclical,8.25,"{'dist_to_52w_high_pct': 0.81, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.63, 'rsi14': 65.54, 'ma10': 5.88, 'ma20': 5.54, 'ma50': 4.72, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 52.76, 'breakout': {'score': 0.0, 'donchian20_prev': 6.18, 'donchian55_prev': 6.18, 'atr14': 0.3503, 'vol_ratio_3_20': 0.6264, 'breakout_strength_atr': -0.1427, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 5.71, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.53, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,6.130000114440918,111674179584,44453339.35872106,2026-02-27T00:00:00Z
PLYM,"Plymouth Industrial REIT, Inc.",NYSE,Real Estate,8.25,"{'dist_to_52w_high_pct': 0.95, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.2, 'rsi14': 66.21, 'ma10': 309.72, 'ma20': 304.12, 'ma50': 286.63, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 40.81, 'breakout': {'score': 0.0, 'donchian20_prev': 322.57, 'donchian55_prev': 322.57, 'atr14': 7.075, 'vol_ratio_3_20': 1.2032, 'breakout_strength_atr': -0.4339, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.21, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.67, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,319.5,990011328,774740416.884723,2026-02-27T00:00:00Z
COP,ConocoPhillips,NYSE,Energy,8.25,"{'dist_to_52w_high_pct': 0.3, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.73, 'rsi14': 60.16, 'ma10': 234.11, 'ma20': 232.09, 'ma50': 219.93, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 26.73, 'breakout': {'score': 0.0, 'donchian20_prev': 239.94, 'donchian55_prev': 239.94, 'atr14': 4.9307, 'vol_ratio_3_20': 0.7297, 'breakout_strength_atr': -0.146, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.06, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.19, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,239.22000122070312,138686611456,322528136.550354,2026-02-27T00:00:00Z
WYNN,"Wynn Resorts, Limited",NASDAQ,Consumer Cyclical,8.25,"{'dist_to_52w_high_pct': 2.68, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.7, 'rsi14': 69.61, 'ma10': 148.38, 'ma20': 144.2, 'ma50': 139.64, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 26.83, 'breakout': {'score': 0.0, 'donchian20_prev': 155.19, 'donchian55_prev': 155.19, 'atr14': 3.8961, 'vol_ratio_3_20': 0.6982, 'breakout_strength_atr': -1.0677, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.58, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.44, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,151.02999877929688,11249220608,212471908.64085236,2026-02-27T00:00:00Z
BKD,Brookdale Senior Living Inc.,NYSE,Healthcare,8.25,"{'dist_to_52w_high_pct': 2.68, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.7, 'rsi14': 69.61, 'ma10': 148.38, 'ma20': 144.2, 'ma50': 139.64, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 26.83, 'breakout': {'score': 0.0, 'donchian20_prev': 155.19, 'donchian55_prev': 155.19, 'atr14': 3.8961, 'vol_ratio_3_20': 0.6982, 'breakout_strength_atr': -1.0677, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.58, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.44, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,151.02999877929688,3636570112,212471908.64085236,2026-02-27T00:00:00Z
FC,Franklin Covey Co.,NYSE,Consumer Defensive,8.25,"{'dist_to_52w_high_pct': 4.24, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.74, 'rsi14': 68.44, 'ma10': 45.19, 'ma20': 42.26, 'ma50': 35.36, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 24.51, 'breakout': {'score': 0.0, 'donchian20_prev': 47.44, 'donchian55_prev': 47.44, 'atr14': 2.1093, 'vol_ratio_3_20': 0.7412, 'breakout_strength_atr': -0.9529, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 4.64, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.04, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,45.43000030517578,156109184,116320915.0529602,2026-02-27T00:00:00Z
LFT,"Lument Finance Trust, Inc.",NYSE,Real Estate,8.25,"{'dist_to_52w_high_pct': 0.63, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.06, 'rsi14': 62.59, 'ma10': 157.49, 'ma20': 155.33, 'ma50': 154.94, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 21.62, 'breakout': {'score': 0.0, 'donchian20_prev': 162.68, 'donchian55_prev': 162.68, 'atr14': 3.5368, 'vol_ratio_3_20': 1.0617, 'breakout_strength_atr': -0.2884, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.19, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.99, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,161.66000366210938,72263600,855147979.1205597,2026-02-27T00:00:00Z
CWBC,Community West Bancshares,NCM,Financial Services,8.25,"{'dist_to_52w_high_pct': 1.99, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.05, 'rsi14': 56.2, 'ma10': 201.53, 'ma20': 200.06, 'ma50': 194.2, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 29.16, 'breakout': {'score': 0.0, 'donchian20_prev': 206.73, 'donchian55_prev': 206.73, 'atr14': 4.5779, 'vol_ratio_3_20': 1.052, 'breakout_strength_atr': -0.8978, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.26, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.5, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,202.6199951171875,445166976,1371699930.279071,2026-02-27T00:00:00Z
EB,"Eventbrite, Inc.",NYSE,Communication Services,8.25,"{'dist_to_52w_high_pct': 2.37, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.35, 'rsi14': 64.31, 'ma10': 111.84, 'ma20': 109.96, 'ma50': 104.64, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 20.79, 'breakout': {'score': 0.0, 'donchian20_prev': 115.25, 'donchian55_prev': 115.25, 'atr14': 2.5421, 'vol_ratio_3_20': 1.3497, 'breakout_strength_atr': -1.0739, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.26, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.09, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,112.5199966430664,443919072,291567521.6700913,2026-02-27T00:00:00Z
CVBF,CVB Financial Corp.,NASDAQ,Financial Services,8.25,"{'dist_to_52w_high_pct': 4.71, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.96, 'rsi14': 69.25, 'ma10': 1403.13, 'ma20': 1312.48, 'ma50': 1145.16, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 41.94, 'breakout': {'score': 0.0, 'donchian20_prev': 1500.0, 'donchian55_prev': 1500.0, 'atr14': 75.7607, 'vol_ratio_3_20': 0.959, 'breakout_strength_atr': -0.9323, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 5.3, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.42, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,1429.3699951171875,2611293696,624083765.3494507,2026-02-27T00:00:00Z
