scan_date,ticker,period,in_weekly_top5,in_pro30,in_movers,weekly_rank,source,composite_score,technical_score,catalyst_score,entry_price,exit_price,max_price,min_price,return_pct,max_return_pct,max_drawdown_pct,trading_days,hit_5pct,hit_10pct,hit_15pct
2025-11-24,ALAB,14,False,True,False,,30d_momentum,,,,147.75,143.66,182.53,136.54,-2.77,23.54,-7.59,14,True,True,True
2025-11-24,STNE,5,False,True,False,,30d_momentum,,,,15.08,17.44,17.82,15.1,15.65,18.14,0.13,5,True,True,True
2025-11-24,STNE,7,False,True,False,,30d_momentum,,,,15.08,15.73,17.82,14.89,4.31,18.14,-1.25,7,True,True,True
2025-11-24,STNE,10,False,True,False,,30d_momentum,,,,15.08,14.62,17.82,14.42,-3.05,18.14,-4.38,10,True,True,True
2025-11-24,STNE,14,False,True,False,,30d_momentum,,,,15.08,15.29,17.82,14.4,1.39,18.14,-4.51,14,True,True,True
2025-11-25,KSS,5,False,True,False,,30d_momentum,,,,22.42,22.97,25.22,22.24,2.45,12.49,-0.8,5,True,True,False
2025-11-25,KSS,7,False,True,False,,30d_momentum,,,,22.42,23.05,25.22,22.04,2.81,12.49,-1.69,7,True,True,False
2025-11-25,KSS,10,False,True,False,,30d_momentum,,,,22.42,23.63,25.22,21.91,5.4,12.49,-2.27,10,True,True,False
2025-11-25,KSS,14,False,True,False,,30d_momentum,,,,22.42,22.95,25.22,21.84,2.36,12.49,-2.59,14,True,True,False
2025-11-27,AVGO,5,True,False,False,1.0,weekly_top5,5.5,,,402.96,390.24,395.42,370.65,-3.16,-1.87,-8.02,5,False,False,False
2025-11-27,AVGO,7,True,False,False,1.0,weekly_top5,5.5,,,402.96,406.29,407.29,370.65,0.83,1.07,-8.02,7,False,False,False
2025-11-27,AVGO,10,True,False,False,1.0,weekly_top5,5.5,,,402.96,359.93,414.61,355.15,-10.68,2.89,-11.86,10,False,False,False
2025-11-27,AVGO,14,True,False,False,1.0,weekly_top5,5.5,,,402.96,329.88,414.61,321.42,-18.14,2.89,-20.24,14,False,False,False
2025-11-27,UPWK,5,True,False,False,2.0,weekly_top5,5.25,,,19.74,20.08,21.38,19.01,1.72,8.31,-3.7,5,True,False,False
2025-11-27,UPWK,7,True,False,False,2.0,weekly_top5,5.25,,,19.74,20.98,21.38,19.01,6.28,8.31,-3.7,7,True,False,False
2025-11-27,UPWK,10,True,False,False,2.0,weekly_top5,5.25,,,19.74,21.95,22.32,19.01,11.2,13.07,-3.7,10,True,True,False
2025-11-27,UPWK,14,True,False,False,2.0,weekly_top5,5.25,,,19.74,20.47,22.32,19.01,3.7,13.07,-3.7,14,True,True,False
2025-11-27,RIG,5,True,False,False,3.0,weekly_top5,5.25,,,4.41,4.44,4.55,4.21,0.68,3.17,-4.42,5,False,False,False
2025-11-27,RIG,7,True,False,False,3.0,weekly_top5,5.25,,,4.41,4.45,4.56,4.21,0.91,3.4,-4.42,7,False,False,False
2025-11-27,RIG,10,True,False,False,3.0,weekly_top5,5.25,,,4.41,4.13,4.56,4.13,-6.35,3.4,-6.35,10,False,False,False
2025-11-27,RIG,14,True,False,False,3.0,weekly_top5,5.25,,,4.41,3.92,4.56,3.79,-11.11,3.4,-14.06,14,False,False,False
2025-11-27,AXSM,5,True,False,False,4.0,weekly_top5,5.25,,,151.5,149.22,151.63,141.69,-1.5,0.09,-6.48,5,False,False,False
2025-11-27,AXSM,7,True,False,False,4.0,weekly_top5,5.25,,,151.5,145.22,151.63,141.69,-4.15,0.09,-6.48,7,False,False,False
2025-11-27,AXSM,10,True,False,False,4.0,weekly_top5,5.25,,,151.5,148.17,151.63,141.69,-2.2,0.09,-6.48,10,False,False,False
2025-11-27,AXSM,14,True,False,False,4.0,weekly_top5,5.25,,,151.5,147.0,151.63,141.69,-2.97,0.09,-6.48,14,False,False,False
2025-11-27,LITE,5,True,False,False,5.0,weekly_top5,5.0,,,325.16,331.41,344.0,288.5,1.92,5.79,-11.27,5,True,False,False
2025-11-27,LITE,7,True,False,False,5.0,weekly_top5,5.0,,,325.16,360.33,362.43,288.5,10.82,11.46,-11.27,7,True,True,False
2025-11-27,LITE,10,True,False,False,5.0,weekly_top5,5.0,,,325.16,324.35,376.53,288.5,-0.25,15.8,-11.27,10,True,True,True
2025-11-27,LITE,14,True,False,False,5.0,weekly_top5,5.0,,,325.16,337.13,376.53,288.5,3.68,15.8,-11.27,14,True,True,True
2025-11-27,KSS,5,False,True,False,,30d_momentum,,,,24.59,23.05,25.22,22.04,-6.26,2.56,-10.37,5,False,False,False
2025-11-27,KSS,7,False,True,False,,30d_momentum,,,,24.59,23.41,25.22,21.91,-4.8,2.56,-10.9,7,False,False,False
2025-11-27,KSS,10,False,True,False,,30d_momentum,,,,24.59,23.27,25.22,21.91,-5.37,2.56,-10.9,10,False,False,False
2025-11-27,KSS,14,False,True,False,,30d_momentum,,,,24.59,22.67,25.22,21.84,-7.81,2.56,-11.18,14,False,False,False
